"Observation"	"Value"
257	5.65066856201342e-07
258	5.65066856201342e-07
259	5.65066856201342e-07
260	5.65066856201342e-07
261	5.68388359757455e-07
262	5.71898104551649e-07
263	5.71898104551649e-07
264	5.74391899581508e-07
265	5.74391899581508e-07
266	5.74423197913971e-07
267	5.74423197913971e-07
268	5.7849792358257e-07
269	5.80190873618875e-07
270	5.8409998032635e-07
271	5.85854178149754e-07
272	5.89887964945e-07
273	5.92567301570366e-07
274	5.95922931412036e-07
275	5.97178473039621e-07
276	6.01861688979352e-07
277	6.01861688979352e-07
278	6.01861688979352e-07
279	6.04720269471872e-07
280	6.08567357450884e-07
281	6.1249561612094e-07
282	6.15017367479404e-07
283	6.17719969282132e-07
284	6.17719969282132e-07
285	6.20841534856222e-07
286	6.20841534856222e-07
287	6.20841534856222e-07
288	6.27660636567086e-07
289	6.28258908091305e-07
290	6.31522827449158e-07
291	6.31718459481058e-07
292	6.32748741476648e-07
293	6.34876079502796e-07
294	6.39217324992165e-07
295	6.39217324992165e-07
296	6.39217324992165e-07
297	6.41873396709729e-07
298	6.43178617151873e-07
299	6.45964189227652e-07
300	6.47998531508296e-07
301	6.50276963798532e-07
302	6.53425264864362e-07
303	6.57307122029336e-07
304	6.6053093788002e-07
305	6.62269711215383e-07
306	6.64090297872633e-07
307	6.68157182582351e-07
308	6.72778251213538e-07
309	6.75966527206457e-07
310	6.78893938745676e-07
311	6.81599561236838e-07
312	6.83303051335478e-07
313	6.86865303166886e-07
314	6.91588236603984e-07
315	6.94906269845718e-07
316	6.97674553426628e-07
317	7.01370997037055e-07
318	7.03780472107354e-07
319	7.06144702623738e-07
320	7.09240689387695e-07
321	7.12923315356751e-07
322	7.16755943063548e-07
323	7.19509252321479e-07
324	7.20957405292528e-07
325	7.22591614448966e-07
326	7.24851409096945e-07
327	7.28709551189055e-07
328	7.3157854316383e-07
329	7.33670405217913e-07
330	7.35090665746056e-07
331	7.35873579613897e-07
332	7.36466517086468e-07
333	7.3921037907797e-07
334	7.42028277857298e-07
335	7.42028277857298e-07
336	7.47643959507109e-07
337	7.51337446853921e-07
338	7.54165564110602e-07
